truck_id,duration,fill_volume,n_units,orders,from_warehouse,route_date,stops,total_distance
jehwGBpNg2rDLeKoYeiaLs,2.1671357597744945,5.987900000000001,87.0,nK4iPf8nrGA9yivRH66ehS > jnsH9ndQ3UKcWSbb2UMkFn,Clermont-Ferrand,2021-01-02,Clermont-Ferrand > Bourges,153.95061051567637
XnzFnkALW3tLnzrdCVFyKH,23.230412137317945,4.706,190.0,XHfAWaLxTFbo5UQwtd7CMz > Wd6rPc4wPRNmt3ruf3F7oL > 2MFgV2VC4UhnHBwS24i5aN > BEvzN52yooQkPVCg9mMi8M > M3TmFQRnreVJFwDs6VvP7X > BeerXT3U2LsPUc3Mur92qJ > 4iroWtY6z9KrPjRbeJmN8t > NrjJfQ2sKvzGXYvXydhbRz > hgBcKDX9pmKcH4MtsBr3uw,Cergy,2021-01-02,Cergy > Saint-Nazaire > Saint-Denis > Rouen > Montreuil > Issy-les-Moulineaux > Caen > Boulogne-sur-Mer,1416.1841023081372
dwQ5Xd6TwcXURBczFdRXVy,6.995822445199048,10.9609,148.0,gQi59MNfDa5YFpVWxfmPin > FaqH6N2zWCeykLh5f9VPWG > TWn7ZQtGikzhQ4RvLeVbU5 > JHptWdvmjhsLptw6mbh3PH > URFeLjZVczKTMmvZfaUQFA,Cergy,2021-01-02,Cergy > Boulogne-Billancourt > Aubervilliers > Antony > Amiens,184.70412903291574
A58tMgZVPfe2ucEBcCSXTW,4.78519773832002,1.8904,79.0,7bzBdqUKWXyNrAhntXNrBq > BZsYUHDe4eVj7HaeM8MBt7,Reims,2021-01-02,Reims > Épinal > Troyes,390.8518620608621
KRNfDAmUV8bRzkxhdAYfkj,4.413342589121706,0.4536,63.0,DfN8XqUVeVHjTW3Pat76Tr > MUT2TaTikTsi8FzSCnimxv,Clermont-Ferrand,2021-01-03,Clermont-Ferrand > Villeurbanne,139.4473562004103
9xU3UQ9KDwAJv66hEJtrrT,21.718255429685808,5.1549,265.0,AXoTkCdz2ULtKUekG6d472 > RNgaKXh8BN9zaVfknRAm2Y > hXUbyYvPPxuGx3DaxedD7t > RFQRpvZB8qNExvqZ8NutQJ > DquvoEVJFWnqfpT3whQ8iz > jeHGPL3Q2SgFaV26yEyC7x > B3zS8c9G7KvwMPDtQ4gidG > i6FLEs2db4LNAVJv4oddcB > SUWPw5uKB2XTmJkbhRqV4q,Cergy,2021-01-03,Cergy > Épinay-sur-Seine > Versailles > Saint-Maur-des-Fossés > Quimper > Noisy-le-Grand > Neuilly-sur-Seine > Nanterre > Meaux,1139.8515978151377
VXGz8WBqzaqhUdLPD9ZuKc,22.875866923670547,22.1387,248.0,XVRkGfSLScyGhqw4BN8hC9 > CNknrrNaEb9CnjTnoBLTbS > 7GqhaPU2wnAA4t2yUy9fCq > kRATetatbwsaNiyDu9DQxH > YisRfRVyRNHqf5dp36tnh5 > 4X4RBUwTXGBMVWdEj8Gti4 > YWbNmJciG7RC6zKsgzM4aq > W3giPJuvJnAf3Ukrstmqpw > T48on3t5UkzKjTutK4RohW > XtP4hVG7NvvSKad6t4CWcp > HtgDEAgWyRAat6hMyZ4T9e,Cergy,2021-01-03,Cergy > Lorient > Levallois-Perret > Le Mans > Ivry-sur-Seine > Issy-les-Moulineaux > Drancy > Créteil > Courcouronnes > Champigny-sur-Marne > Caen,1524.5280214896525
8XCqdfzWkCyrBJQzqCCfCM,11.003719097116043,1.1611,292.0,eJZ8Cj7AUtU7FDQRZQNEZW > X7Fw4fpZWfyafimV2uwTPe > mqZB4N4FVhW2vDN2K5cga7 > 8wzEo4guhyU8ZacfQ2Cvr7 > MPTggv79tQU4w5cUPnvK2b > iRJs57Q3pWEB4MvsLTgFA3 > mcHTGP5iTeU9qtt7uwgQrL > XPgLz3gjCsYkroekPJBmNK,Cergy,2021-01-03,Cergy > Boulogne-sur-Mer > Boulogne-Billancourt > Antony > Amiens,542.2175699049102
5Adu5rMhmXpCJtT4qiuy7D,18.750074909540054,16.9344,217.0,Vt5YezabQqGeUJx3NjZR96 > Jd3QcWTnvkffFUCWgAeBLd > F6TArv4JCN8yzqqfgGtsr2 > UeE4GPJk5KQFvvkM3HTbjF > 5ddY9SV5Czdyb4uTWtfUig > Dk5aAH3dgPxeqG4U8nYjuM > Ev7fkijmWLsKqDnAu934Vd,Reims,2021-01-03,Reims > Nancy > Mulhouse > Metz > Lille > Dijon > Belfort,1296.0997144364146
CA2K398vQCVTRytvQ5aGhE,23.816979206536452,6.7679,217.0,G5c9XMDpSWUEsSxMgaVxoC > KX4gpmfQK8G6sfs6gbjMeb > CxsjqjtWXjpWLNQRf2yxfU > Ct3kgvL9beKNfReCqHXAVU > Q3fxX2qNcFigdReBnJDEhK > hTaKTbHz7LUkKW9heaLPBQ > TdYmcoDJPuPxXUzwi8Gyof > VNQA2dsmV3RhPDAmpiHTTo > SAZxYkfdokcXuYCgbYC2pc,Avignon,2021-01-03,Avignon > Vénissieux > Nice > Montélimar > Grenoble > Cannes > Béziers > Annecy,1691.2346000337707
